"date","symbol","volume"
"2024-02-20","NFCX.JK","12200"
"2024-02-20","EMDE.JK","500"
"2024-02-20","BINO.JK","410400"
"2024-02-20","CARE.JK","3650800"
"2024-02-20","KBAG.JK","400"
"2024-02-20","KAEF.JK","6057500"
"2024-02-20","CNMA.JK","10690400"
"2024-02-20","KBLM.JK","91800"
"2024-02-20","BIPI.JK","278668700"
"2024-02-20","ERAA.JK","60487100"
"2024-02-20","CTRA.JK","13932200"
"2024-02-20","SDMU.JK","9300"
"2024-02-20","SDPC.JK","429600"
"2024-02-20","SDRA.JK","135500"
"2024-02-20","DRMA.JK","3036500"
"2024-02-20","ELPI.JK","7562800"
"2024-02-20","SEMA.JK","1145900"
"2024-02-20","AHAP.JK","220879000"
"2024-02-20","AISA.JK","10743600"
"2024-02-20","KDSI.JK","14900"
"2024-02-20","SHID.JK","267200"
"2024-02-20","MDRN.JK","59800"
"2024-02-20","SINI.JK","7100"
"2024-02-20","SIPD.JK","2500"
"2024-02-20","BKDP.JK","135800"
"2024-02-20","KEJU.JK","33500"
"2024-02-20","KIAS.JK","11900"
"2024-02-20","KICI.JK","6200"
"2024-02-20","ENRG.JK","34680800"
"2024-02-20","FILM.JK","11637900"
"2024-02-20","FREN.JK","119048600"
"2024-02-20","SKBM.JK","34400"
"2024-02-20","BMRI.JK","87312000"
"2024-02-20","BBRI.JK","160872600"
"2024-02-20","GHON.JK","36500"
"2024-02-20","KIOS.JK","546300"
"2024-02-20","HEXA.JK","138900"
"2024-02-20","JAWA.JK","432600"
"2024-02-19","IIKP.JK","0"
"2024-02-20","KJEN.JK","1048100"
"2024-02-20","KMDS.JK","72300"
"2024-02-20","SKLT.JK","19500"
"2024-02-20","KOBX.JK","560100"
"2024-02-20","KOIN.JK","14000"
"2024-02-20","BKSL.JK","253251300"
"2024-02-20","AKRA.JK","15396400"
"2024-02-20","ISSP.JK","2896000"
"2024-02-20","BTPN.JK","11600"
"2024-02-20","SKRN.JK","5632900"
"2024-02-20","SLIS.JK","3806700"
"2024-02-20","SMAR.JK","11900"
"2024-02-20","BKSW.JK","322800"
"2024-02-20","JMAS.JK","18578100"
"2024-02-20","BLTZ.JK","2800"
"2024-02-20","JSMR.JK","4924200"
"2024-02-20","KOPI.JK","25400"
"2024-02-20","BLUE.JK","25100"
"2024-02-19","KPAL.JK","0"
"2024-02-20","SOFA.JK","114200"
"2024-02-20","BMBL.JK","37800"
"2024-02-20","BMHS.JK","3880400"
"2024-02-19","ENVY.JK","0"
"2024-02-20","SMIL.JK","136841300"
"2024-02-20","SMKL.JK","72500"
"2024-02-20","KIJA.JK","53249000"
"2024-02-20","ENZO.JK","15341800"
"2024-02-20","CHEM.JK","19778700"
"2024-02-20","EPAC.JK","42200"
"2024-02-20","BBSI.JK","19300"
"2024-02-20","LPCK.JK","209800"
"2024-02-20","CUAN.JK","25453600"
"2024-02-20","PWON.JK","28011000"
"2024-02-19","KPAS.JK","0"
"2024-02-20","SMKM.JK","858400"
"2024-02-20","BNLI.JK","31900"
"2024-02-20","ESIP.JK","53100"
"2024-02-20","BOLA.JK","135400"
"2024-02-20","BISI.JK","64900"
"2024-02-20","ESTA.JK","327000"
"2024-02-20","FAST.JK","3500"
"2024-02-20","PZZA.JK","18700"
"2024-02-19","RIMO.JK","0"
"2024-02-20","SIMP.JK","482000"
"2024-02-20","ALDO.JK","271900"
"2024-02-20","BBKP.JK","13880600"
"2024-02-20","ASDM.JK","6200"
"2024-02-20","CASA.JK","3604500"
"2024-02-20","RMKE.JK","1823100"
"2024-02-20","SNLK.JK","7066800"
"2024-02-20","SOCI.JK","1752600"
"2024-02-20","ACST.JK","3592600"
"2024-02-20","KKGI.JK","544800"
"2024-02-20","SCMA.JK","97558700"
"2024-02-20","SOSS.JK","1600"
"2024-02-19","FASW.JK","0"
"2024-02-20","SGRO.JK","30900"
"2024-02-20","SILO.JK","1604800"
"2024-02-20","SMBR.JK","1692400"
"2024-02-20","SMDR.JK","7827200"
"2024-02-20","HBAT.JK","1252300"
"2024-02-20","BUMI.JK","186460700"
"2024-02-20","SMGR.JK","6343500"
"2024-02-20","KPIG.JK","3097300"
"2024-02-20","SPMA.JK","121500"
"2024-02-19","FIMP.JK","0"
"2024-02-20","SPTO.JK","181500"
"2024-02-20","STAA.JK","4224900"
"2024-02-19","KRAH.JK","0"
"2024-02-19","TAMU.JK","0"
"2024-02-19","BOSS.JK","0"
"2024-02-20","KRAS.JK","3628600"
"2024-02-20","TARA.JK","4300"
"2024-02-20","FIRE.JK","9766400"
"2024-02-20","KUAS.JK","363500"
"2024-02-20","TBLA.JK","553900"
"2024-02-20","SQMI.JK","2004500"
"2024-02-20","MKPI.JK","80600"
"2024-02-20","SRSN.JK","2769600"
"2024-02-20","AMIN.JK","15200"
"2024-02-20","AMMN.JK","43164000"
"2024-02-19","FISH.JK","0"
"2024-02-20","SMMT.JK","64600"
"2024-02-20","ABMM.JK","1023800"
"2024-02-20","BTON.JK","200"
"2024-02-20","BULL.JK","275522900"
"2024-02-20","BOLT.JK","139000"
"2024-02-19","CANI.JK","0"
"2024-02-20","CANI.JK","300"
"2024-02-20","LPKR.JK","8360700"
